preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
112500,2578;5;12;2;1;1;52,81999969;21;1634,136963;451,4334106;347,1842957;6592,716797;2129,879883
129000,2266;5;6;2;2;1;60,74000168;15;78,59971619;1743,376953;4627,696777;2004,713989;2123,810059
471000,4063;2;4;4;3;4;160,9900055;19;460,6176147;542,2141724;1210,139038;4457,189941;2925,649902
79749,83594;2;1;2;1;1;57;11;1009,906982;1597,082031;1004,500977;2294,520996;1399,119995
191000,0469;7;10;3;2;1;84;30;3875,916992;651,8148804;3359,768066;3571,206055;2273,810059
145319,7188;4;8;2;2;1;61,16999817;1;2726,485107;1515,380981;594,7581177;4648,033203;2375,669922
504999,5938;7;6;4;3;3;140;18;2618,177979;2078,521973;175,9687958;5316,089844;3607,139893
404126,375;7;7;4;3;2;138,5;36;749,8526001;413,2423096;1457,811035;2710,337891;2917,879883
86850,22656;3;9;2;1;1;47,25;24;50,63792038;36,59886169;1914,339966;1610,121948;1838,099976
189812,0938;2;11;3;2;2;80,16999817;27;2749,944092;1946,866943;1966,972046;837,1737061;2367,620117
625756,8125;5;2;4;3;3;191,7100067;29;422,2388916;335,1932983;2797,718994;2542,125977;3264,080078
419538,1875;3;2;4;3;3;179,1000061;27;3345,409912;1788,743042;1487,927979;3662,968018;2342,47998
250899,5;2;6;4;3;3;125,2900009;24;1667,237061;1198,987061;714,9526978;1191,244019;2002,550049
1200000,25;2;7;4;4;4;292;24;650,6398926;2829,180908;742,307312;2892,763916;4109,589844
679799,625;6;5;3;3;3;163;25;367,1679077;701,4865112;2951,091064;3189,572998;4170,549805
565400,0625;2;12;3;3;3;151,5700073;36;1636,463989;2328,512939;972,9091797;979,8336182;3730,290039
364499,7188;7;10;4;2;2;122,6900024;33;282,2453918;804,7692261;1160,781006;1135,300049;2970,899902
63700,17188;2;5;2;1;1;53;16;994,9375;958,9219971;4229,904785;3226,475098;1201,890015
324399,5;7;10;3;2;2;100,5599976;26;471,9324951;1355,097046;5151,942871;2435,798096;3225,929932
59250,02344;2;8;2;1;1;48,38000107;18;782,420105;257,313385;1671,765991;1275,177979;1224,680054
123500,2266;3;2;2;2;1;64,20999908;22;1316,901001;343,5321045;929,9360962;5783,203125;1923,380005
313592,0938;5;9;4;3;2;118;26;577,2385254;1407,141968;5254,414063;2463,230957;2657,560059
